Catégorie : Toutes catégories

Mois,AI: (Dans tous les pays)
2004-01,20
2004-02,20
2004-03,20
2004-04,20
2004-05,21
2004-06,20
2004-07,21
2004-08,20
2004-09,21
2004-10,21
2004-11,21
2004-12,22
2005-01,20
2005-02,20
2005-03,20
2005-04,19
2005-05,21
2005-06,21
2005-07,21
2005-08,20
2005-09,20
2005-10,21
2005-11,21
2005-12,22
2006-01,22
2006-02,21
2006-03,21
2006-04,22
2006-05,21
2006-06,22
2006-07,22
2006-08,21
2006-09,22
2006-10,22
2006-11,22
2006-12,21
2007-01,22
2007-02,21
2007-03,23
2007-04,22
2007-05,23
2007-06,25
2007-07,24
2007-08,23
2007-09,24
2007-10,25
2007-11,24
2007-12,25
2008-01,25
2008-02,26
2008-03,26
2008-04,26
2008-05,27
2008-06,27
2008-07,26
2008-08,26
2008-09,26
2008-10,29
2008-11,28
2008-12,29
2009-01,28
2009-02,29
2009-03,30
2009-04,31
2009-05,33
2009-06,35
2009-07,34
2009-08,33
2009-09,34
2009-10,34
2009-11,34
2009-12,34
2010-01,37
2010-02,34
2010-03,36
2010-04,37
2010-05,37
2010-06,35
2010-07,34
2010-08,36
2010-09,36
2010-10,38
2010-11,38
2010-12,39
2011-01,39
2011-02,37
2011-03,38
2011-04,41
2011-05,40
2011-06,40
2011-07,40
2011-08,44
2011-09,45
2011-10,49
2011-11,57
2011-12,78
2012-01,100
2012-02,89
2012-03,76
2012-04,65
2012-05,56
2012-06,51
2012-07,49
2012-08,45
2012-09,44
2012-10,45
2012-11,44
2012-12,44
2013-01,42
2013-02,42
2013-03,44
2013-04,42
2013-05,44
2013-06,43
2013-07,43
2013-08,43
2013-09,44
2013-10,43
2013-11,43
2013-12,41
2014-01,42
2014-02,43
2014-03,42
2014-04,43
2014-05,43
2014-06,45
2014-07,43
2014-08,42
2014-09,47
2014-10,52
2014-11,62
2014-12,54
2015-01,55
2015-02,47
2015-03,48
2015-04,48
2015-05,50
2015-06,46
2015-07,45
2015-08,44
2015-09,44
2015-10,45
2015-11,45
2015-12,46
2016-01,46
2016-02,44
2016-03,46
2016-04,44
2016-05,45
2016-06,43
2016-07,43
2016-08,41
2016-09,47
2016-10,48
2016-11,50
2016-12,49
2017-01,47
2017-02,48
2017-03,47
2017-04,45
2017-05,43
2017-06,43
2017-07,43
2017-08,43
2017-09,43
2017-10,45
2017-11,48
2017-12,47
2018-01,47
2018-02,45
2018-03,45
2018-04,44
2018-05,45
2018-06,47
2018-07,43
2018-08,43
2018-09,44
2018-10,44
2018-11,44
2018-12,43
2019-01,44
2019-02,43
2019-03,43
2019-04,45
2019-05,44
2019-06,46
2019-07,44
2019-08,42
2019-09,44
2019-10,46
2019-11,47
2019-12,44
2020-01,44
2020-02,45
