Catégorie : Toutes catégories

Mois,Strong AI: (Dans tous les pays)
2004-01,58
2004-02,86
2004-03,70
2004-04,55
2004-05,0
2004-06,79
2004-07,100
2004-08,46
2004-09,42
2004-10,87
2004-11,86
2004-12,67
2005-01,47
2005-02,56
2005-03,62
2005-04,58
2005-05,61
2005-06,62
2005-07,47
2005-08,30
2005-09,27
2005-10,77
2005-11,60
2005-12,34
2006-01,67
2006-02,46
2006-03,19
2006-04,63
2006-05,19
2006-06,27
2006-07,20
2006-08,19
2006-09,48
2006-10,41
2006-11,42
2006-12,60
2007-01,38
2007-02,15
2007-03,35
2007-04,27
2007-05,41
2007-06,33
2007-07,12
2007-08,31
2007-09,19
2007-10,27
2007-11,19
2007-12,31
2008-01,21
2008-02,22
2008-03,32
2008-04,29
2008-05,37
2008-06,13
2008-07,17
2008-08,14
2008-09,21
2008-10,31
2008-11,40
2008-12,15
2009-01,18
2009-02,38
2009-03,38
2009-04,38
2009-05,21
2009-06,12
2009-07,44
2009-08,21
2009-09,33
2009-10,37
2009-11,26
2009-12,35
2010-01,15
2010-02,23
2010-03,42
2010-04,54
2010-05,30
2010-06,15
2010-07,30
2010-08,29
2010-09,13
2010-10,25
2010-11,30
2010-12,19
2011-01,13
2011-02,28
2011-03,25
2011-04,28
2011-05,33
2011-06,31
2011-07,26
2011-08,21
2011-09,25
2011-10,33
2011-11,38
2011-12,39
2012-01,25
2012-02,18
2012-03,42
2012-04,40
2012-05,34
2012-06,28
2012-07,21
2012-08,31
2012-09,21
2012-10,28
2012-11,33
2012-12,28
2013-01,26
2013-02,22
2013-03,27
2013-04,24
2013-05,21
2013-06,26
2013-07,21
2013-08,22
2013-09,25
2013-10,25
2013-11,29
2013-12,26
2014-01,26
2014-02,30
2014-03,29
2014-04,35
2014-05,26
2014-06,23
2014-07,24
2014-08,30
2014-09,19
2014-10,24
2014-11,30
2014-12,28
2015-01,24
2015-02,32
2015-03,32
2015-04,27
2015-05,29
2015-06,31
2015-07,24
2015-08,30
2015-09,27
2015-10,36
2015-11,26
2015-12,35
2016-01,24
2016-02,28
2016-03,38
2016-04,34
2016-05,33
2016-06,28
2016-07,17
2016-08,24
2016-09,23
2016-10,36
2016-11,45
2016-12,37
2017-01,31
2017-02,35
2017-03,44
2017-04,45
2017-05,37
2017-06,18
2017-07,30
2017-08,29
2017-09,33
2017-10,47
2017-11,41
2017-12,31
2018-01,43
2018-02,48
2018-03,52
2018-04,42
2018-05,39
2018-06,34
2018-07,31
2018-08,27
2018-09,30
2018-10,50
2018-11,41
2018-12,40
2019-01,25
2019-02,36
2019-03,41
2019-04,34
2019-05,37
2019-06,33
2019-07,30
2019-08,25
2019-09,46
2019-10,49
2019-11,48
2019-12,38
2020-01,33
2020-02,28
